Trade_ID,Side,Entry_Time,Entry_Price,SL,TP,status,PnL_Pct,Capital_Acumulado,PnL_USD
MTF_1715,LONG,2025-11-19 17:15:00,166.38,163.0524,172.20329999999998,CLOSED,0.034999999999999934,1055.009610137315,35.6766534829043
MTF_0900,LONG,2025-11-21 09:00:00,157.87,154.7126,163.39544999999998,CLOSED,-0.019999999999999973,1033.9094179345686,-21.100192202746268
MTF_1030,LONG,2025-11-21 10:30:00,155.29,152.18419999999998,160.72514999999999,CLOSED,-0.020000000000000104,1013.2312295758771,-20.678188358691482
MTF_1045,LONG,2025-11-22 10:45:00,156.35,153.22299999999998,161.82224999999997,CLOSED,0.03499999999999984,1048.6943226110327,35.46309303515554
MTF_1130,LONG,2025-11-30 11:30:00,182.33,178.6834,188.71155,CLOSED,-0.020000000000000035,1027.720436158812,-20.97388645222069
MTF_0815,LONG,2025-12-02 08:15:00,167.5,164.15,173.36249999999998,CLOSED,0.0349999999999999,1063.6906514243703,35.970215265558316
MTF_1900,LONG,2025-12-05 19:00:00,182.64,178.98719999999997,189.03239999999997,CLOSED,0.0349999999999999,1100.9198242242232,37.229172799852854
MTF_2015,LONG,2025-12-06 20:15:00,187.41,183.6618,193.96935,CLOSED,-0.019999999999999987,1078.901427739739,-22.01839648448445
MTF_1530,LONG,2025-12-15 15:30:00,184.78,181.0844,191.2473,CLOSED,-0.02000000000000007,1057.323399184944,-21.57802855479485
MTF_1800,LONG,2025-12-15 18:00:00,181.08,177.4584,187.4178,CLOSED,0.03499999999999993,1094.329718156417,37.006318971472965
MTF_1900,LONG,2025-12-17 19:00:00,177.01,173.4698,183.20534999999998,CLOSED,0.03499999999999995,1132.6312582918915,38.30154013547453
MTF_2000,LONG,2025-12-18 20:00:00,171.89,168.45219999999998,177.90614999999997,CLOSED,0.0349999999999999,1172.2733523321076,39.64209404021609
MTF_1400,LONG,2025-12-21 14:00:00,174.17,170.6866,180.26594999999998,CLOSED,-0.019999999999999938,1148.8278852854655,-23.44546704664208
MTF_2300,LONG,2025-12-21 23:00:00,165.78,162.4644,171.58229999999998,CLOSED,-0.019999999999999934,1125.8513275797563,-22.976557705709237
MTF_0100,LONG,2025-12-22 01:00:00,162.96,159.70080000000002,168.6636,CLOSED,-0.019999999999999955,1103.3343010281612,-22.517026551595077
MTF_2115,LONG,2025-12-22 21:15:00,149.74,146.7452,154.9809,CLOSED,-0.019999999999999987,1081.2676150075981,-22.06668602056321
MTF_2100,LONG,2025-12-24 21:00:00,147.63,144.6774,152.79704999999998,CLOSED,0.03499999999999993,1119.1119815328639,37.844366525265855
MTF_1145,LONG,2025-12-30 11:45:00,149.95,146.951,155.19824999999997,CLOSED,-0.01999999999999997,1096.7297419022066,-22.382239630657242
MTF_1745,LONG,2025-12-31 17:45:00,144.9,142.002,149.9715,CLOSED,0.034999999999999906,1135.1152828687837,38.385540966577125
MTF_1945,LONG,2026-01-09 19:45:00,164.27,160.9846,170.01945,CLOSED,0.034999999999999976,1174.844317769191,39.7290349004074
MTF_0245,LONG,2026-01-19 02:45:00,163.5,160.23,169.2225,CLOSED,-0.020000000000000063,1151.3474314138073,-23.496886355383896
MTF_0000,LONG,2026-01-21 00:00:00,153.5,150.43,158.87249999999997,CLOSED,0.03499999999999983,1191.6445915132904,40.29716009948306
MTF_1215,LONG,2026-01-24 12:15:00,156.09,152.9682,161.55315,CLOSED,-0.02000000000000005,1167.8116996830245,-23.832891830265865
MTF_1930,LONG,2026-01-25 19:30:00,147.16,144.2168,152.3106,CLOSED,0.03499999999999998,1208.6851091719302,40.873409488905835
MTF_0145,LONG,2026-01-30 01:45:00,144.04,141.1592,149.08139999999997,CLOSED,-0.019999999999999955,1184.5114069884917,-24.17370218343855
MTF_0900,LONG,2026-01-30 09:00:00,140.75,137.935,145.67624999999998,CLOSED,-0.019999999999999983,1160.821178848722,-23.690228139769815
MTF_1845,LONG,2026-01-31 18:45:00,122.52,120.0696,126.80819999999999,CLOSED,0.03499999999999991,1201.449920108427,40.628741259705166
MTF_0545,LONG,2026-02-01 05:45:00,127.69,125.1362,132.15914999999998,CLOSED,-0.019999999999999966,1177.4209217062585,-24.0289984021685
MTF_0500,LONG,2026-02-05 05:00:00,121.11,118.6878,125.34884999999998,CLOSED,-0.02000000000000003,1153.8725032721334,-23.548418434125207
MTF_0915,LONG,2026-02-06 09:15:00,103.49,101.4202,107.11214999999999,CLOSED,0.03499999999999991,1194.258040886658,40.385537614524566
MTF_1400,LONG,2026-02-20 14:00:00,115.74,113.42519999999999,119.79089999999998,CLOSED,0.034999999999999865,1236.0570723176909,41.799031431032866
MTF_1745,LONG,2026-02-23 17:45:00,114.73,112.4354,118.74555,CLOSED,-0.02000000000000002,1211.335930871337,-24.721141446353844
MTF_0345,LONG,2026-02-24 03:45:00,112.59,110.3382,116.53065,CLOSED,0.03499999999999992,1253.7326884518338,42.3967575804967
MTF_2215,LONG,2026-02-27 22:15:00,111.16,108.93679999999999,115.05059999999999,CLOSED,-0.020000000000000052,1228.658034682797,-25.074653769036743
MTF_0000,LONG,2026-03-05 00:00:00,116.15,113.827,120.21525,CLOSED,-0.020000000000000063,1204.084873989141,-24.573160693656018
MTF_0130,LONG,2026-03-07 01:30:00,110.77,108.5546,114.64694999999999,CLOSED,-0.020000000000000025,1180.0031765093581,-24.08169747978285
MTF_1400,LONG,2026-03-08 14:00:00,106.96,104.82079999999999,110.70359999999998,CLOSED,0.03499999999999988,1221.3032876871855,41.30011117782739
MTF_0730,LONG,2026-03-19 07:30:00,114.16,111.87679999999999,118.15559999999999,CLOSED,-0.02000000000000007,1196.8772219334417,-24.426065753743796
MTF_1315,LONG,2026-03-19 13:15:00,112.12,109.8776,116.04419999999999,CLOSED,-0.02000000000000003,1172.9396774947727,-23.937544438668873
MTF_1515,LONG,2026-03-20 15:15:00,109.5,107.31,113.3325,CLOSED,-0.01999999999999998,1149.4808839448772,-23.45879354989543
MTF_1115,LONG,2026-03-22 11:15:00,107.06,104.9188,110.80709999999999,CLOSED,0.0349999999999999,1189.7127148829477,40.23183093807059
MTF_2045,LONG,2026-03-27 20:45:00,98.19,96.22619999999999,101.62664999999998,CLOSED,-0.020000000000000063,1165.9184605852886,-23.79425429765903
MTF_0945,LONG,2026-03-29 09:45:00,96.14,94.2172,99.50489999999999,CLOSED,0.03499999999999991,1206.7256067057735,40.807146120485
